nome,historico,campus,sigla
CBA - Técnico em Eletrotécnica - Subsequente,Técnico em Eletrotécnica Subsequente ao Ensino Médio,Campus Cuiabá,CBA
CBA - Técnico em Eventos - Integrado,Técnico em Eventos Integrado Ao Ensino Médio,Campus Cuiabá,CBA
CBA - Técnico em Informática - Integrado,Técnico em Informática Integrado Ao Nível Médio,Campus Cuiabá,CBA
CBA - Técnico em Secretariado - Integrado,Técnico em Secretariado Integrado Ao Ensino Médio,Campus Cuiabá,CBA
CBA - Tecnologia em Automação Industrial,Tecnologia em Automação Industrial,Campus Cuiabá,CBA
CBA - Tecnologia em Construção de Edifícios,Tecnólogo em Construção de Edifícios,Campus Cuiabá,CBA
CBA - Tecnologia em Controle de Obras,Tecnólogo em Controle  de Obras,Campus Cuiabá,CBA
CBA - Tecnologia em Geoprocessamento,Tecnólogo em Geoprocessamento,Campus Cuiabá,CBA
CBA - Tecnologia em Redes de Computadores,Tecnologia em Redes de Computadores,Campus Cuiabá,CBA
CBA - Tecnologia em Sistemas para Internet,Tecnologia em Sistemas para Internet,Campus Cuiabá,CBA
CBA - Tecnologia em Sistemas para Internet - UAB,Tecnologia em Sistemas para Internet,Campus Cuiabá,CBA
CFS - Bacharelado em Agronomia,Bacharelado em Agronomia,Campus Confresa,CFS
CFS - Especialização em Direitos Humanos e Garantias Fundamentais,Pós Graduação Lato Sensu em Direitos Humanos e Garantias Fundamentais,Campus Confresa,CFS
CFS - Especialização em Educação do Campo,Especialização em Educação do Campo,Campus Confresa,CFS
CFS - Especialização em Ensino de Ciências,Especialização em Ensino de Ciências,Reitoria,RTR
CFS - Especialização em Solos e Nutrição de Plantas,Especialização em Solos e Nutrição de Plantas,Campus Confresa,CFS
CFS - FIC - Agricultor Orgânico,Formação Inicial e Continuada em Agricultor Orgânico,Campus Confresa,CFS
CFS - FIC - Agricultura e Pecuária de Base Agroecológica,Formação Inicial e Continuada em Agricultura e Pecuária de Base Agroecológica,Campus Confresa,CFS
CFS - FIC - Assistente Administrativo,Formação Inicial e Continuada em Assistente Administrativo,Campus Confresa,CFS
CFS - FIC - Assistente de Recursos Humanos,Formação Inicial e Continuada em Assistente de Recursos Humanos,Campus Confresa,CFS
CFS - FIC - Direitos Humanos e Garantias Fundamentais,Formação Inicial e Continuada em Direitos Humanos e Garantias Fundamentais,Campus Confresa,CFS
CFS - FIC - Inglês Básico,Formação Inicial e Continuada em Inglês Básico,Campus Confresa,CFS
CFS - FIC - Língua Brasileira de Sinais (LIBRAS),Formação Inicial e Continuada em Língua Brasileira de Sinais (LIBRAS),Campus Confresa,CFS
CFS - FIC - Microempreendedor Individual (MEI),Formação Inicial e Continuada em Microempreendedor Individual (MEI),Campus Confresa,CFS
CFS - FIC - Panificação,Formação Inicial e Continuada em Panificação,Campus Confresa,CFS
CFS - FIC - Piscicultor,Formação Inicial e Continuada em Piscicultor,Campus Confresa,CFS
